Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","2,473.61","2,465.56","2,491.66","2,449.01",-,-1.40%
"Mar 31, 2020","2,508.81","2,466.28","2,526.13","2,459.19",-,3.10%
"Mar 30, 2020","2,433.35","2,377.21","2,435.53","2,357.53",-,1.34%
"Mar 27, 2020","2,401.11","2,491.70","2,498.33","2,378.88",-,-3.57%
"Mar 26, 2020","2,489.97","2,448.76","2,514.92","2,403.60",-,1.52%
"Mar 25, 2020","2,452.69","2,459.30","2,518.38","2,372.34",-,1.52%
"Mar 24, 2020","2,415.97","2,349.47","2,435.27","2,341.21",-,7.22%
"Mar 23, 2020","2,253.35","2,257.88","2,321.76","2,213.49",-,-3.36%
"Mar 20, 2020","2,331.61","2,327.27","2,418.74","2,314.75",-,2.46%
"Mar 19, 2020","2,275.70","2,134.43","2,288.09","2,073.87",-,7.72%
"Mar 18, 2020","2,112.64","2,192.79","2,205.41","2,097.84",-,-5.04%
"Mar 17, 2020","2,224.74","2,263.62","2,313.34","2,172.46",-,-1.86%
"Mar 16, 2020","2,266.90","2,297.04","2,301.19","2,179.12",-,-2.14%
"Mar 13, 2020","2,316.38","2,277.66","2,418.15","2,275.16",-,1.31%
"Mar 12, 2020","2,286.40","2,413.02","2,413.02","2,277.58",-,-8.28%
"Mar 11, 2020","2,492.88","2,532.72","2,555.43","2,457.36",-,-0.24%
"Mar 10, 2020","2,498.94","2,502.70","2,661.63","2,435.62",-,-8.11%
"Mar 06, 2020","2,719.51","2,773.53","2,782.77","2,680.06",-,-3.45%
"Mar 05, 2020","2,816.70","2,852.42","2,861.60","2,800.43",-,-0.40%
"Mar 04, 2020","2,828.01","2,799.18","2,841.13","2,779.85",-,0.24%
"Mar 03, 2020","2,821.37","2,817.58","2,844.04","2,789.76",-,2.01%
"Mar 02, 2020","2,765.77","2,829.47","2,875.30","2,714.36",-,-0.69%
"Feb 28, 2020","2,785.08","2,850.11","2,855.32","2,744.18",-,-4.48%
"Feb 27, 2020","2,915.84","2,989.18","3,002.20","2,910.46",-,-3.37%
"Feb 26, 2020","3,017.42","2,994.22","3,026.26","2,958.46",-,0.49%
"Feb 25, 2020","3,002.68","3,058.33","3,073.27","3,002.68",-,-3.33%
"Feb 21, 2020","3,106.03","3,109.86","3,129.24","3,098.76",-,-0.61%
"Feb 20, 2020","3,125.10","3,120.51","3,139.59","3,117.50",-,0.34%
"Feb 19, 2020","3,114.57","3,089.09","3,117.84","3,086.41",-,1.32%
"Feb 18, 2020","3,074.05","3,103.71","3,104.42","3,064.15",-,-1.16%
"Feb 17, 2020","3,110.06","3,097.18","3,110.06","3,092.45",-,0.43%
"Feb 14, 2020","3,096.88","3,113.72","3,120.89","3,084.57",-,-0.42%
"Feb 13, 2020","3,110.05","3,116.99","3,122.19","3,096.98",-,-0.39%
"Feb 12, 2020","3,122.27","3,103.81","3,122.27","3,095.70",-,0.80%
"Feb 11, 2020","3,097.58","3,072.39","3,109.22","3,069.90",-,1.15%
"Feb 10, 2020","3,062.41","3,088.63","3,092.93","3,049.33",-,-0.82%
"Feb 07, 2020","3,087.63","3,101.08","3,108.28","3,056.85",-,-0.29%
"Feb 06, 2020","3,096.68","3,132.84","3,145.15","3,086.91",-,-0.56%
"Feb 05, 2020","3,114.25","3,105.52","3,137.97","3,083.26",-,0.54%
"Feb 04, 2020","3,097.60","3,082.20","3,105.98","3,071.79",-,0.87%
"Feb 03, 2020","3,070.84","3,062.27","3,085.89","3,058.48",-,-0.19%
"Jan 31, 2020","3,076.65","3,133.40","3,143.29","3,076.65",-,-1.03%
"Jan 30, 2020","3,108.58","3,108.38","3,121.54","3,096.31",-,-0.65%
"Jan 29, 2020","3,128.80","3,125.91","3,140.77","3,115.64",-,0.50%
"Jan 28, 2020","3,113.10","3,097.71","3,115.62","3,068.67",-,0.91%
"Jan 27, 2020","3,085.16","3,123.71","3,123.71","3,076.68",-,-1.94%
"Jan 24, 2020","3,146.20","3,147.28","3,165.86","3,134.70",-,0.16%
"Jan 23, 2020","3,141.20","3,162.68","3,170.41","3,135.15",-,-1.05%
"Jan 22, 2020","3,174.62","3,212.91","3,222.93","3,174.62",-,-1.08%
"Jan 21, 2020","3,209.22","3,212.72","3,213.38","3,185.65",-,-0.33%
"Jan 20, 2020","3,219.92","3,205.64","3,226.89","3,204.32",-,0.72%
"Jan 17, 2020","3,196.88","3,161.25","3,198.32","3,159.23",-,1.26%
"Jan 16, 2020","3,157.23","3,137.52","3,163.20","3,140.12",-,0.79%
"Jan 15, 2020","3,132.63","3,128.38","3,148.29","3,106.41",-,0.09%
"Jan 14, 2020","3,129.77","3,155.63","3,166.07","3,126.00",-,-0.70%
"Jan 13, 2020","3,151.69","3,124.96","3,151.69","3,117.03",-,0.90%
"Jan 10, 2020","3,123.66","3,117.24","3,130.92","3,101.21",-,0.18%
"Jan 09, 2020","3,118.08","3,105.21","3,124.60","3,094.85",-,0.26%
"Jan 08, 2020","3,110.06","3,076.63","3,112.01","3,071.88",-,1.01%
"Jan 06, 2020","3,078.87","3,075.55","3,079.42","3,059.47",-,0.08%
"Jan 03, 2020","3,076.37","3,059.20","3,086.09","3,057.36",-,1.00%
"Dec 30, 2019","3,045.87","3,051.41","3,060.20","3,042.34",-,-0.15%
"Dec 27, 2019","3,050.47","3,029.12","3,054.03","3,029.12",-,0.62%
"Dec 26, 2019","3,031.67","3,025.58","3,034.63","3,021.62",-,0.03%
"Dec 25, 2019","3,030.84","3,032.41","3,036.81","3,024.89",-,0.01%
"Dec 24, 2019","3,030.59","3,035.86","3,039.92","3,025.92",-,-0.11%
"Dec 23, 2019","3,033.81","3,009.89","3,033.81","3,009.07",-,0.59%
"Dec 20, 2019","3,015.93","3,015.64","3,021.05","3,004.21",-,0.25%
"Dec 19, 2019","3,008.39","3,012.29","3,027.88","2,998.05",-,-0.51%
"Dec 18, 2019","3,023.92","3,011.37","3,023.92","3,004.27",-,0.35%
"Dec 17, 2019","3,013.29","3,012.49","3,019.95","3,005.61",-,0.24%
"Dec 16, 2019","3,006.16","3,001.42","3,012.21","2,994.44",-,0.32%
"Dec 13, 2019","2,996.63","2,990.92","3,000.10","2,984.92",-,0.46%
"Dec 12, 2019","2,982.86","2,966.24","2,996.82","2,965.10",-,0.96%
"Dec 11, 2019","2,954.40","2,932.43","2,959.12","2,932.43",-,0.75%
"Dec 10, 2019","2,932.40","2,943.03","2,948.94","2,920.93",-,-0.43%
"Dec 09, 2019","2,945.03","2,932.08","2,947.68","2,926.10",-,0.56%
"Dec 06, 2019","2,928.76","2,900.78","2,928.76","2,897.56",-,1.02%
